,problem,correct_solution,intermediate_1,intermediate_2
357,"[7, 3, 6, 3] ⋅ [3, 7, 3, 9]",87,21,27
358,"[9, 6, 3, 2] ⋅ [7, 2, 7, 7]",110,63,14
359,"[2, 9, 3, 3] ⋅ [8, 5, 3, 9]",97,16,27
360,"[9, 4, 4, 5] ⋅ [3, 7, 4, 5]",96,27,25
361,"[4, 9, 3, 7] ⋅ [4, 5, 3, 9]",133,16,63
362,"[9, 4, 7, 9] ⋅ [7, 7, 2, 3]",132,63,27
363,"[6, 3, 5, 2] ⋅ [6, 5, 7, 7]",100,36,14
364,"[3, 2, 3, 8] ⋅ [8, 6, 4, 7]",104,24,56
365,"[7, 8, 2, 4] ⋅ [6, 7, 5, 7]",136,42,28
366,"[6, 6, 8, 6] ⋅ [5, 3, 4, 7]",122,30,42
367,"[8, 5, 3, 8] ⋅ [2, 3, 3, 9]",112,16,72
368,"[6, 5, 3, 5] ⋅ [6, 7, 3, 2]",90,36,10
369,"[7, 5, 9, 9] ⋅ [3, 9, 5, 5]",156,21,45
370,"[6, 8, 9, 4] ⋅ [6, 3, 5, 7]",133,36,28
371,"[8, 4, 5, 3] ⋅ [2, 3, 6, 9]",85,16,27
372,"[9, 4, 8, 6] ⋅ [3, 5, 4, 5]",109,27,30
373,"[4, 8, 9, 6] ⋅ [5, 6, 9, 8]",197,20,48
374,"[9, 9, 8, 6] ⋅ [6, 5, 5, 6]",175,54,36
375,"[6, 8, 6, 9] ⋅ [3, 6, 6, 3]",129,18,27
376,"[8, 8, 6, 5] ⋅ [6, 9, 3, 2]",148,48,10
377,"[9, 3, 7, 6] ⋅ [9, 4, 3, 5]",144,81,30
378,"[9, 4, 5, 5] ⋅ [5, 3, 7, 6]",122,45,30
379,"[5, 4, 2, 3] ⋅ [2, 5, 7, 3]",53,10,9
380,"[5, 4, 6, 7] ⋅ [7, 4, 6, 7]",136,35,49
381,"[2, 9, 3, 5] ⋅ [8, 5, 3, 9]",115,16,45
382,"[9, 5, 2, 9] ⋅ [8, 3, 2, 6]",145,72,54
383,"[4, 8, 2, 9] ⋅ [8, 9, 9, 6]",176,32,54
384,"[2, 8, 8, 5] ⋅ [9, 9, 3, 9]",159,18,45
385,"[3, 5, 5, 5] ⋅ [8, 8, 4, 4]",104,24,20
386,"[3, 4, 7, 9] ⋅ [4, 9, 7, 9]",178,12,81
387,"[8, 9, 2, 7] ⋅ [6, 6, 9, 5]",155,48,35
388,"[2, 6, 6, 5] ⋅ [9, 7, 5, 5]",115,18,25
389,"[6, 9, 2, 7] ⋅ [4, 7, 7, 5]",136,24,35
390,"[8, 8, 9, 4] ⋅ [8, 3, 6, 8]",174,64,32
391,"[8, 6, 9, 6] ⋅ [2, 6, 7, 3]",133,16,18
392,"[3, 3, 2, 4] ⋅ [9, 6, 6, 7]",85,27,28
393,"[9, 7, 3, 8] ⋅ [8, 8, 4, 8]",204,72,64
394,"[9, 9, 2, 9] ⋅ [3, 2, 8, 8]",133,27,72
395,"[9, 3, 8, 3] ⋅ [2, 2, 2, 4]",52,18,12
396,"[2, 7, 5, 7] ⋅ [7, 4, 8, 9]",145,14,63
397,"[9, 4, 3, 8] ⋅ [8, 7, 7, 6]",169,72,48
398,"[3, 2, 7, 5] ⋅ [2, 2, 9, 8]",113,6,40
399,"[7, 2, 5, 2] ⋅ [2, 5, 4, 4]",52,14,8
400,"[3, 9, 3, 3] ⋅ [5, 2, 7, 8]",78,15,24
401,"[6, 8, 9, 7] ⋅ [2, 3, 3, 2]",77,12,14
402,"[8, 9, 6, 6] ⋅ [5, 6, 5, 7]",166,40,42
403,"[6, 8, 3, 4] ⋅ [2, 5, 4, 9]",100,12,36
404,"[9, 9, 7, 8] ⋅ [5, 7, 4, 3]",160,45,24
405,"[4, 6, 8, 2] ⋅ [8, 8, 6, 8]",144,32,16
406,"[6, 9, 5, 4] ⋅ [9, 8, 7, 9]",197,54,36
407,"[3, 2, 4, 7] ⋅ [6, 3, 2, 8]",88,18,56
408,"[7, 2, 8, 7] ⋅ [3, 6, 8, 2]",111,21,14
409,"[7, 3, 5, 8] ⋅ [5, 9, 8, 3]",126,35,24
410,"[8, 2, 4, 5] ⋅ [6, 4, 9, 5]",117,48,25
411,"[8, 5, 9, 6] ⋅ [3, 3, 7, 2]",114,24,12
412,"[5, 5, 8, 9] ⋅ [6, 4, 6, 6]",152,30,54
413,"[3, 8, 7, 9] ⋅ [9, 6, 7, 5]",169,27,45
414,"[3, 5, 6, 4] ⋅ [7, 3, 5, 6]",90,21,24
415,"[7, 4, 9, 4] ⋅ [3, 2, 9, 5]",130,21,20
416,"[6, 4, 4, 9] ⋅ [9, 7, 9, 6]",172,54,54
417,"[6, 4, 7, 7] ⋅ [5, 7, 5, 4]",121,30,28
418,"[9, 3, 5, 7] ⋅ [8, 5, 3, 4]",130,72,28
419,"[6, 5, 6, 5] ⋅ [2, 9, 3, 9]",120,12,45
420,"[2, 9, 7, 7] ⋅ [5, 2, 2, 2]",56,10,14
421,"[5, 3, 7, 8] ⋅ [6, 7, 4, 4]",111,30,32
422,"[2, 8, 9, 4] ⋅ [3, 2, 9, 3]",115,6,12
423,"[7, 6, 4, 5] ⋅ [9, 6, 2, 7]",142,63,35
424,"[8, 4, 2, 7] ⋅ [7, 6, 4, 6]",130,56,42
425,"[4, 8, 6, 4] ⋅ [3, 7, 8, 9]",152,12,36
426,"[3, 7, 9, 7] ⋅ [6, 6, 4, 9]",159,18,63
427,"[8, 3, 9, 7] ⋅ [4, 5, 5, 4]",120,32,28
428,"[6, 8, 8, 7] ⋅ [9, 4, 9, 6]",200,54,42
429,"[2, 3, 2, 9] ⋅ [6, 4, 9, 3]",69,12,27
430,"[4, 9, 8, 7] ⋅ [6, 2, 6, 4]",118,24,28
431,"[3, 5, 6, 9] ⋅ [8, 4, 7, 5]",131,24,45
432,"[7, 3, 6, 6] ⋅ [8, 4, 8, 8]",164,56,48
433,"[3, 9, 7, 2] ⋅ [7, 8, 5, 7]",142,21,14
434,"[7, 2, 7, 5] ⋅ [5, 9, 2, 4]",87,35,20
435,"[5, 2, 8, 8] ⋅ [9, 6, 7, 3]",137,45,24
436,"[3, 8, 2, 3] ⋅ [2, 8, 9, 5]",103,6,15
437,"[2, 6, 2, 2] ⋅ [5, 9, 4, 4]",80,10,8
438,"[6, 7, 6, 5] ⋅ [2, 6, 6, 8]",130,12,40
439,"[6, 5, 9, 4] ⋅ [2, 9, 7, 7]",148,12,28
440,"[8, 2, 2, 6] ⋅ [6, 2, 5, 7]",104,48,42
441,"[6, 9, 5, 9] ⋅ [7, 7, 3, 6]",174,42,54
442,"[5, 9, 7, 7] ⋅ [4, 3, 3, 3]",89,20,21
443,"[2, 9, 6, 6] ⋅ [5, 2, 9, 8]",130,10,48
444,"[7, 4, 2, 8] ⋅ [7, 6, 9, 5]",131,49,40
445,"[2, 7, 4, 2] ⋅ [6, 2, 5, 4]",54,12,8
446,"[6, 9, 2, 8] ⋅ [7, 2, 5, 7]",126,42,56
447,"[6, 3, 5, 6] ⋅ [6, 3, 9, 2]",102,36,12
448,"[9, 2, 2, 5] ⋅ [6, 7, 7, 2]",92,54,10
449,"[7, 2, 8, 6] ⋅ [7, 6, 9, 8]",181,49,48
450,"[2, 4, 4, 5] ⋅ [9, 3, 3, 8]",82,18,40
451,"[5, 6, 3, 6] ⋅ [4, 6, 9, 8]",131,20,48
452,"[4, 2, 9, 5] ⋅ [8, 9, 7, 9]",158,32,45
453,"[7, 7, 4, 7] ⋅ [6, 8, 4, 9]",177,42,63
454,"[9, 5, 9, 7] ⋅ [9, 2, 7, 4]",182,81,28
455,"[2, 3, 8, 3] ⋅ [8, 7, 4, 5]",84,16,15
456,"[4, 5, 6, 4] ⋅ [4, 4, 6, 4]",88,16,16
457,"[7, 6, 6, 2] ⋅ [9, 5, 8, 7]",155,63,14
458,"[3, 5, 9, 2] ⋅ [6, 3, 2, 6]",63,18,12
459,"[6, 7, 4, 7] ⋅ [9, 6, 5, 9]",179,54,63
460,"[5, 5, 5, 9] ⋅ [6, 2, 9, 4]",121,30,36
461,"[2, 6, 8, 4] ⋅ [8, 9, 9, 3]",154,16,12
462,"[8, 8, 6, 3] ⋅ [5, 2, 4, 5]",95,40,15
463,"[3, 2, 5, 3] ⋅ [2, 7, 3, 9]",62,6,27
464,"[4, 4, 7, 4] ⋅ [7, 7, 3, 6]",101,28,24
465,"[3, 8, 5, 4] ⋅ [8, 6, 9, 5]",137,24,20
466,"[3, 8, 3, 4] ⋅ [4, 6, 6, 8]",110,12,32
467,"[9, 4, 4, 7] ⋅ [3, 6, 9, 7]",136,27,49
468,"[5, 7, 5, 8] ⋅ [8, 4, 2, 4]",110,40,32
469,"[2, 6, 8, 3] ⋅ [9, 3, 4, 5]",83,18,15
470,"[5, 9, 7, 2] ⋅ [4, 2, 2, 4]",60,20,8
471,"[6, 7, 3, 3] ⋅ [6, 4, 2, 8]",94,36,24
472,"[8, 8, 5, 8] ⋅ [8, 7, 4, 9]",212,64,72
473,"[7, 2, 8, 3] ⋅ [5, 6, 2, 5]",78,35,15
474,"[2, 7, 7, 2] ⋅ [8, 6, 6, 5]",110,16,10
475,"[2, 2, 4, 6] ⋅ [9, 4, 2, 3]",52,18,18
476,"[7, 7, 6, 2] ⋅ [9, 4, 7, 7]",147,63,14
477,"[2, 6, 7, 7] ⋅ [6, 5, 6, 2]",98,12,14
478,"[3, 4, 3, 3] ⋅ [2, 4, 3, 7]",52,6,21
479,"[4, 6, 9, 6] ⋅ [5, 9, 5, 8]",167,20,48
480,"[4, 5, 2, 7] ⋅ [5, 6, 7, 2]",78,20,14
481,"[2, 8, 6, 2] ⋅ [6, 9, 8, 2]",136,12,4
482,"[3, 5, 2, 7] ⋅ [3, 2, 8, 6]",77,9,42
483,"[8, 5, 7, 8] ⋅ [4, 9, 7, 5]",166,32,40
484,"[9, 7, 8, 4] ⋅ [4, 6, 2, 8]",126,36,32
485,"[5, 8, 6, 3] ⋅ [3, 8, 9, 5]",148,15,15
486,"[8, 4, 4, 6] ⋅ [2, 8, 3, 2]",72,16,12
487,"[5, 3, 6, 2] ⋅ [5, 6, 2, 2]",59,25,4
488,"[8, 2, 5, 9] ⋅ [7, 2, 3, 6]",129,56,54
489,"[7, 3, 6, 5] ⋅ [5, 3, 4, 7]",103,35,35
490,"[3, 9, 2, 9] ⋅ [9, 7, 4, 9]",179,27,81
491,"[6, 6, 8, 2] ⋅ [9, 7, 5, 8]",152,54,16
492,"[6, 4, 8, 2] ⋅ [8, 3, 8, 7]",138,48,14
493,"[9, 4, 6, 8] ⋅ [3, 2, 5, 4]",97,27,32
494,"[7, 3, 5, 8] ⋅ [3, 7, 5, 3]",91,21,24
495,"[5, 5, 9, 7] ⋅ [9, 6, 5, 3]",141,45,21
496,"[7, 3, 6, 7] ⋅ [7, 7, 9, 9]",187,49,63
497,"[3, 9, 5, 4] ⋅ [9, 4, 9, 2]",116,27,8
498,"[5, 9, 8, 7] ⋅ [6, 4, 8, 4]",158,30,28
499,"[8, 2, 5, 2] ⋅ [5, 6, 7, 7]",101,40,14
500,"[7, 8, 6, 3] ⋅ [9, 9, 9, 6]",207,63,18
501,"[7, 4, 2, 6] ⋅ [9, 5, 9, 6]",137,63,36
502,"[8, 5, 5, 7] ⋅ [2, 3, 9, 7]",125,16,49
503,"[5, 5, 7, 5] ⋅ [8, 7, 6, 2]",127,40,10
504,"[4, 6, 2, 9] ⋅ [6, 5, 4, 6]",116,24,54
505,"[5, 7, 3, 5] ⋅ [4, 8, 9, 6]",133,20,30
506,"[2, 7, 8, 6] ⋅ [9, 5, 9, 9]",179,18,54
507,"[3, 4, 9, 3] ⋅ [2, 7, 4, 9]",97,6,27
508,"[6, 4, 3, 8] ⋅ [9, 9, 7, 4]",143,54,32
509,"[3, 6, 2, 5] ⋅ [4, 8, 7, 5]",99,12,25
510,"[4, 7, 2, 5] ⋅ [7, 3, 7, 6]",93,28,30
511,"[2, 9, 9, 2] ⋅ [9, 9, 8, 3]",177,18,6
512,"[6, 2, 4, 5] ⋅ [6, 4, 7, 4]",92,36,20
513,"[5, 2, 2, 5] ⋅ [3, 6, 7, 5]",66,15,25
514,"[5, 2, 4, 2] ⋅ [9, 8, 6, 5]",95,45,10
515,"[7, 5, 7, 7] ⋅ [3, 4, 9, 6]",146,21,42
516,"[8, 6, 6, 5] ⋅ [7, 2, 6, 7]",139,56,35
517,"[4, 4, 6, 4] ⋅ [9, 2, 8, 9]",128,36,36
518,"[9, 5, 8, 7] ⋅ [5, 8, 8, 3]",170,45,21
519,"[8, 5, 8, 4] ⋅ [6, 5, 8, 8]",169,48,32
520,"[5, 5, 5, 8] ⋅ [5, 7, 7, 2]",111,25,16
521,"[7, 5, 9, 7] ⋅ [9, 6, 8, 9]",228,63,63
522,"[8, 8, 9, 6] ⋅ [5, 3, 7, 3]",145,40,18
523,"[2, 5, 5, 9] ⋅ [9, 5, 4, 2]",81,18,18
524,"[7, 4, 5, 6] ⋅ [2, 7, 9, 7]",129,14,42
525,"[7, 8, 3, 7] ⋅ [3, 7, 3, 4]",114,21,28
526,"[5, 3, 3, 9] ⋅ [8, 4, 7, 6]",127,40,54
527,"[5, 5, 7, 9] ⋅ [8, 6, 8, 2]",144,40,18
528,"[8, 8, 3, 5] ⋅ [4, 5, 4, 4]",104,32,20
529,"[6, 2, 3, 2] ⋅ [7, 9, 5, 6]",87,42,12
530,"[6, 7, 9, 8] ⋅ [9, 8, 6, 8]",228,54,64
531,"[2, 7, 7, 5] ⋅ [4, 9, 3, 3]",107,8,15
532,"[8, 3, 4, 4] ⋅ [9, 5, 4, 5]",123,72,20
533,"[4, 3, 8, 9] ⋅ [3, 3, 4, 2]",71,12,18
534,"[2, 9, 3, 5] ⋅ [5, 5, 7, 7]",111,10,35
535,"[9, 3, 2, 2] ⋅ [9, 2, 2, 2]",95,81,4
536,"[4, 9, 9, 2] ⋅ [8, 6, 3, 5]",123,32,10
537,"[7, 7, 5, 7] ⋅ [6, 2, 2, 6]",108,42,42
538,"[3, 3, 3, 5] ⋅ [5, 5, 6, 9]",93,15,45
539,"[5, 8, 9, 5] ⋅ [2, 5, 5, 6]",125,10,30
540,"[5, 8, 5, 3] ⋅ [7, 3, 3, 8]",98,35,24
541,"[3, 6, 7, 4] ⋅ [9, 3, 6, 5]",107,27,20
542,"[5, 9, 6, 5] ⋅ [9, 2, 4, 4]",107,45,20
543,"[6, 6, 2, 9] ⋅ [3, 2, 7, 7]",107,18,63
544,"[2, 9, 5, 7] ⋅ [7, 7, 2, 7]",136,14,49
545,"[9, 2, 6, 4] ⋅ [8, 2, 8, 3]",136,72,12
546,"[6, 2, 5, 9] ⋅ [8, 6, 4, 5]",125,48,45
547,"[7, 8, 4, 9] ⋅ [3, 6, 6, 7]",156,21,63
548,"[6, 7, 3, 4] ⋅ [8, 4, 6, 7]",122,48,28
549,"[3, 5, 4, 9] ⋅ [8, 4, 7, 2]",90,24,18
550,"[5, 2, 7, 8] ⋅ [9, 9, 9, 8]",190,45,64
551,"[2, 3, 4, 8] ⋅ [3, 9, 8, 8]",129,6,64
552,"[6, 6, 2, 6] ⋅ [2, 7, 5, 8]",112,12,48
553,"[8, 9, 6, 7] ⋅ [7, 2, 8, 5]",157,56,35
554,"[4, 6, 6, 8] ⋅ [6, 6, 7, 5]",142,24,40
555,"[8, 7, 2, 9] ⋅ [8, 7, 2, 7]",180,64,63
556,"[2, 9, 4, 6] ⋅ [4, 3, 6, 7]",101,8,42
557,"[3, 9, 8, 7] ⋅ [7, 2, 4, 8]",127,21,56
558,"[5, 7, 4, 6] ⋅ [7, 3, 6, 2]",92,35,12
559,"[4, 2, 3, 3] ⋅ [5, 3, 4, 3]",47,20,9
560,"[8, 8, 3, 8] ⋅ [8, 7, 2, 4]",158,64,32
561,"[5, 2, 6, 7] ⋅ [7, 6, 2, 3]",80,35,21
562,"[7, 3, 4, 5] ⋅ [9, 3, 9, 8]",148,63,40
563,"[2, 2, 9, 4] ⋅ [8, 5, 3, 4]",69,16,16
564,"[5, 2, 5, 4] ⋅ [8, 8, 9, 3]",113,40,12
565,"[6, 2, 6, 6] ⋅ [2, 2, 2, 4]",52,12,24
566,"[5, 9, 4, 9] ⋅ [3, 9, 5, 5]",161,15,45
567,"[4, 2, 7, 4] ⋅ [9, 4, 5, 9]",115,36,36
568,"[3, 2, 6, 4] ⋅ [7, 6, 7, 2]",83,21,8
569,"[6, 2, 3, 6] ⋅ [4, 9, 6, 6]",96,24,36
570,"[8, 5, 9, 8] ⋅ [9, 9, 9, 7]",254,72,56
571,"[5, 5, 4, 4] ⋅ [4, 6, 4, 5]",86,20,20
572,"[2, 5, 3, 9] ⋅ [5, 5, 4, 2]",65,10,18
573,"[2, 9, 4, 7] ⋅ [7, 2, 6, 8]",112,14,56
574,"[9, 8, 3, 8] ⋅ [5, 5, 9, 4]",144,45,32
575,"[3, 3, 2, 8] ⋅ [5, 6, 7, 2]",63,15,16
576,"[7, 4, 4, 6] ⋅ [5, 5, 9, 6]",127,35,36
577,"[2, 4, 9, 5] ⋅ [8, 7, 4, 8]",120,16,40
578,"[7, 3, 9, 7] ⋅ [3, 5, 9, 3]",138,21,21
579,"[5, 5, 8, 8] ⋅ [6, 5, 5, 4]",127,30,32
580,"[7, 6, 7, 9] ⋅ [8, 4, 7, 7]",192,56,63
581,"[4, 3, 9, 4] ⋅ [4, 2, 4, 7]",86,16,28
582,"[8, 7, 2, 8] ⋅ [6, 6, 8, 6]",154,48,48
583,"[8, 6, 2, 8] ⋅ [4, 6, 3, 2]",90,32,16
584,"[2, 2, 2, 8] ⋅ [5, 2, 6, 8]",90,10,64
585,"[3, 5, 8, 8] ⋅ [3, 2, 2, 7]",91,9,56
586,"[8, 8, 9, 4] ⋅ [5, 6, 6, 5]",162,40,20
587,"[2, 7, 2, 2] ⋅ [9, 4, 5, 8]",72,18,16
588,"[6, 8, 6, 7] ⋅ [4, 7, 2, 2]",106,24,14
589,"[5, 2, 9, 8] ⋅ [5, 4, 6, 8]",151,25,64
590,"[4, 4, 5, 9] ⋅ [5, 6, 4, 2]",82,20,18
591,"[8, 8, 4, 9] ⋅ [7, 6, 5, 9]",205,56,81
592,"[8, 2, 9, 5] ⋅ [6, 3, 2, 2]",82,48,10
593,"[8, 7, 8, 2] ⋅ [4, 7, 6, 8]",145,32,16
594,"[8, 2, 4, 9] ⋅ [9, 7, 5, 6]",160,72,54
595,"[7, 3, 8, 7] ⋅ [9, 4, 8, 2]",153,63,14
596,"[2, 2, 6, 4] ⋅ [4, 6, 6, 5]",76,8,20
597,"[6, 7, 9, 4] ⋅ [4, 9, 5, 7]",160,24,28
598,"[3, 7, 3, 4] ⋅ [5, 6, 4, 6]",93,15,24
599,"[3, 4, 8, 6] ⋅ [5, 8, 3, 4]",95,15,24
600,"[8, 2, 6, 5] ⋅ [6, 8, 6, 3]",115,48,15
601,"[9, 9, 6, 8] ⋅ [7, 4, 7, 5]",181,63,40
602,"[7, 6, 8, 6] ⋅ [3, 8, 6, 4]",141,21,24
603,"[5, 8, 4, 7] ⋅ [7, 3, 7, 7]",136,35,49
604,"[7, 2, 6, 9] ⋅ [5, 2, 9, 4]",129,35,36
605,"[4, 7, 3, 5] ⋅ [6, 6, 4, 7]",113,24,35
606,"[7, 9, 7, 5] ⋅ [5, 7, 3, 2]",129,35,10
607,"[2, 3, 7, 8] ⋅ [5, 2, 3, 5]",77,10,40
608,"[5, 6, 5, 7] ⋅ [5, 3, 2, 5]",88,25,35
609,"[9, 2, 7, 7] ⋅ [6, 3, 5, 2]",109,54,14
610,"[6, 5, 9, 9] ⋅ [7, 9, 3, 5]",159,42,45
611,"[6, 7, 2, 2] ⋅ [6, 7, 4, 9]",111,36,18
612,"[5, 3, 3, 6] ⋅ [4, 3, 5, 9]",98,20,54
613,"[9, 7, 6, 3] ⋅ [2, 4, 5, 7]",97,18,21
614,"[2, 4, 2, 4] ⋅ [9, 6, 6, 5]",74,18,20
615,"[8, 3, 3, 3] ⋅ [9, 8, 9, 8]",147,72,24
616,"[9, 7, 7, 6] ⋅ [2, 2, 6, 5]",104,18,30
617,"[8, 5, 3, 2] ⋅ [3, 5, 8, 5]",83,24,10
618,"[4, 7, 7, 5] ⋅ [9, 5, 7, 8]",160,36,40
619,"[2, 6, 8, 2] ⋅ [6, 4, 8, 8]",116,12,16
620,"[7, 5, 3, 8] ⋅ [6, 2, 2, 2]",74,42,16
621,"[8, 3, 4, 7] ⋅ [9, 7, 9, 8]",185,72,56
622,"[7, 8, 7, 8] ⋅ [7, 3, 3, 7]",150,49,56
623,"[6, 8, 4, 9] ⋅ [7, 7, 8, 3]",157,42,27
624,"[7, 6, 2, 5] ⋅ [6, 3, 3, 2]",76,42,10
625,"[3, 8, 5, 8] ⋅ [5, 2, 8, 4]",103,15,32
626,"[8, 4, 2, 9] ⋅ [6, 3, 8, 3]",103,48,27
627,"[4, 9, 7, 2] ⋅ [9, 5, 8, 5]",147,36,10
628,"[8, 7, 5, 8] ⋅ [6, 5, 5, 8]",172,48,64
629,"[3, 2, 4, 2] ⋅ [7, 4, 9, 4]",73,21,8
630,"[8, 5, 2, 8] ⋅ [5, 7, 5, 4]",117,40,32
631,"[9, 3, 9, 7] ⋅ [6, 2, 3, 5]",122,54,35
632,"[2, 9, 6, 4] ⋅ [9, 4, 5, 6]",108,18,24
633,"[5, 5, 5, 6] ⋅ [6, 8, 3, 6]",121,30,36
634,"[4, 5, 9, 2] ⋅ [6, 5, 9, 9]",148,24,18
635,"[9, 5, 8, 8] ⋅ [2, 7, 5, 9]",165,18,72
636,"[8, 3, 5, 3] ⋅ [8, 6, 2, 5]",107,64,15
637,"[4, 4, 2, 3] ⋅ [4, 5, 9, 8]",78,16,24
638,"[5, 2, 7, 6] ⋅ [9, 3, 8, 2]",119,45,12
639,"[4, 5, 9, 5] ⋅ [7, 9, 8, 8]",185,28,40
640,"[5, 8, 4, 2] ⋅ [6, 8, 6, 6]",130,30,12
641,"[4, 2, 4, 5] ⋅ [6, 7, 7, 2]",76,24,10
642,"[6, 4, 3, 2] ⋅ [9, 7, 5, 7]",111,54,14
643,"[8, 7, 8, 2] ⋅ [3, 8, 2, 2]",100,24,4
644,"[9, 8, 8, 2] ⋅ [9, 9, 6, 7]",215,81,14
645,"[4, 9, 5, 7] ⋅ [5, 3, 7, 3]",103,20,21
646,"[4, 5, 7, 6] ⋅ [2, 6, 9, 4]",125,8,24
647,"[3, 2, 2, 4] ⋅ [6, 9, 8, 9]",88,18,36
648,"[9, 3, 4, 9] ⋅ [8, 7, 2, 3]",128,72,27
649,"[8, 2, 6, 3] ⋅ [9, 2, 7, 4]",130,72,12
650,"[8, 8, 9, 5] ⋅ [5, 9, 7, 5]",200,40,25
651,"[2, 2, 2, 6] ⋅ [2, 2, 3, 6]",50,4,36
652,"[4, 2, 5, 7] ⋅ [9, 6, 7, 3]",104,36,21
653,"[2, 4, 5, 6] ⋅ [6, 5, 4, 9]",106,12,54
654,"[5, 7, 6, 5] ⋅ [5, 4, 3, 9]",116,25,45
655,"[8, 7, 5, 7] ⋅ [3, 9, 5, 9]",175,24,63
656,"[2, 6, 3, 9] ⋅ [6, 7, 9, 5]",126,12,45
657,"[2, 9, 7, 9] ⋅ [6, 4, 5, 2]",101,12,18
658,"[7, 5, 8, 8] ⋅ [3, 9, 8, 8]",194,21,64
659,"[6, 8, 4, 5] ⋅ [9, 8, 8, 6]",180,54,30
660,"[5, 8, 3, 6] ⋅ [3, 8, 9, 8]",154,15,48
661,"[9, 4, 5, 3] ⋅ [3, 8, 4, 6]",97,27,18
662,"[4, 9, 5, 4] ⋅ [8, 6, 5, 9]",147,32,36
663,"[7, 7, 2, 7] ⋅ [7, 4, 6, 2]",103,49,14
664,"[8, 2, 6, 4] ⋅ [3, 2, 3, 3]",58,24,12
665,"[3, 3, 6, 4] ⋅ [5, 4, 7, 4]",85,15,16
666,"[5, 9, 2, 4] ⋅ [5, 7, 5, 3]",110,25,12
667,"[6, 8, 6, 5] ⋅ [7, 5, 5, 2]",122,42,10
668,"[6, 8, 4, 9] ⋅ [7, 9, 2, 7]",185,42,63
669,"[6, 2, 3, 7] ⋅ [5, 5, 2, 7]",95,30,49
670,"[6, 7, 8, 2] ⋅ [3, 2, 7, 7]",102,18,14
671,"[2, 4, 3, 6] ⋅ [6, 9, 4, 6]",96,12,36
672,"[8, 7, 2, 5] ⋅ [6, 6, 5, 2]",110,48,10
673,"[3, 2, 5, 2] ⋅ [3, 4, 8, 5]",67,9,10
674,"[9, 8, 3, 8] ⋅ [4, 3, 5, 5]",115,36,40
675,"[8, 9, 9, 8] ⋅ [2, 5, 8, 7]",189,16,56
676,"[2, 6, 4, 9] ⋅ [5, 2, 6, 3]",73,10,27
677,"[3, 9, 4, 4] ⋅ [2, 9, 9, 5]",143,6,20
678,"[3, 4, 3, 9] ⋅ [9, 5, 8, 9]",152,27,81
679,"[5, 2, 8, 7] ⋅ [2, 5, 7, 8]",132,10,56
680,"[8, 9, 6, 7] ⋅ [2, 4, 9, 3]",127,16,21
681,"[6, 7, 6, 6] ⋅ [8, 3, 7, 4]",135,48,24
682,"[5, 8, 8, 7] ⋅ [7, 5, 5, 7]",164,35,49
683,"[2, 7, 6, 8] ⋅ [7, 5, 2, 5]",101,14,40
684,"[5, 2, 3, 2] ⋅ [7, 7, 9, 2]",80,35,4
685,"[4, 9, 2, 2] ⋅ [3, 3, 6, 6]",63,12,12
686,"[7, 6, 6, 4] ⋅ [8, 7, 4, 7]",150,56,28
687,"[7, 4, 4, 6] ⋅ [4, 3, 9, 3]",94,28,18
688,"[7, 6, 4, 8] ⋅ [8, 3, 5, 2]",110,56,16
689,"[2, 7, 8, 9] ⋅ [7, 8, 8, 6]",188,14,54
690,"[6, 3, 5, 7] ⋅ [7, 8, 5, 4]",119,42,28
691,"[2, 8, 8, 8] ⋅ [5, 4, 7, 6]",146,10,48
692,"[9, 9, 6, 8] ⋅ [2, 3, 3, 4]",95,18,32
693,"[6, 6, 4, 4] ⋅ [3, 2, 6, 4]",70,18,16
694,"[3, 8, 4, 5] ⋅ [8, 3, 2, 8]",96,24,40
695,"[5, 8, 9, 5] ⋅ [5, 7, 7, 4]",164,25,20
696,"[2, 3, 3, 4] ⋅ [4, 7, 7, 6]",74,8,24
697,"[3, 5, 5, 7] ⋅ [6, 8, 5, 5]",118,18,35
698,"[5, 2, 5, 2] ⋅ [9, 5, 2, 8]",81,45,16
699,"[6, 5, 9, 7] ⋅ [9, 9, 6, 3]",174,54,21
700,"[8, 5, 7, 6] ⋅ [8, 4, 6, 2]",138,64,12
701,"[7, 7, 6, 6] ⋅ [7, 4, 2, 3]",107,49,18
702,"[9, 3, 9, 4] ⋅ [3, 7, 9, 2]",137,27,8
703,"[4, 2, 5, 4] ⋅ [6, 6, 6, 6]",90,24,24
704,"[6, 9, 2, 2] ⋅ [4, 2, 2, 9]",64,24,18
705,"[4, 8, 3, 6] ⋅ [6, 4, 8, 6]",116,24,36
706,"[8, 9, 5, 8] ⋅ [2, 7, 7, 4]",146,16,32
707,"[6, 3, 2, 4] ⋅ [8, 6, 4, 6]",98,48,24
708,"[4, 2, 7, 7] ⋅ [7, 8, 3, 3]",86,28,21
709,"[7, 2, 8, 3] ⋅ [6, 6, 3, 6]",96,42,18
710,"[3, 2, 9, 7] ⋅ [7, 6, 7, 6]",138,21,42
711,"[8, 8, 4, 4] ⋅ [8, 2, 9, 4]",132,64,16
712,"[6, 4, 4, 9] ⋅ [5, 8, 5, 7]",145,30,63
713,"[4, 9, 7, 4] ⋅ [9, 8, 7, 8]",189,36,32
714,"[7, 9, 4, 5] ⋅ [5, 6, 3, 2]",111,35,10
